| Index | Instruction       | Sig                                           | Arch | OpCode                        | Encoding | Prefix | OpCodeByte | L   | W   | PP   | MM   | x67   | ModR | ModRM | VsibReg | VsibSize | KMask | ZMask |
| 102   | blsfill           | blsfill r32,r32/m                             | ANY  | XOP.LZ.M09.W0 01 /2           | VM       | XOP    | 01         | 128 | W0  |      | M09  | false | 2    |       |         | -1       | false | false |
| 103   | blsfill           | blsfill r64,r64/m                             | X64  | XOP.LZ.M09.W1 01 /2           | VM       | XOP    | 01         | 128 | W1  |      | M09  | false | 2    |       |         | -1       | false | false |
| 104   | blsi              | blsi r32,r32/m                                | ANY  | VEX.LZ.0F38.W0 F3 /3          | VM       | VEX    | F3         | 128 | W0  |      | 0F38 | false | 3    |       |         | -1       | false | false |
| 105   | blsi              | blsi r64,r64/m                                | X64  | VEX.LZ.0F38.W1 F3 /3          | VM       | VEX    | F3         | 128 | W1  |      | 0F38 | false | 3    |       |         | -1       | false | false |
| 106   | blsic             | blsic r32,r32/m                               | ANY  | XOP.LZ.M09.W0 01 /6           | VM       | XOP    | 01         | 128 | W0  |      | M09  | false | 6    |       |         | -1       | false | false |
| 107   | blsic             | blsic r64,r64/m                               | X64  | XOP.LZ.M09.W1 01 /6           | VM       | XOP    | 01         | 128 | W1  |      | M09  | false | 6    |       |         | -1       | false | false |
| 108   | blsmsk            | blsmsk r32,r32/m                              | ANY  | VEX.LZ.0F38.W0 F3 /2          | VM       | VEX    | F3         | 128 | W0  |      | 0F38 | false | 2    |       |         | -1       | false | false |
| 109   | blsmsk            | blsmsk r64,r64/m                              | X64  | VEX.LZ.0F38.W1 F3 /2          | VM       | VEX    | F3         | 128 | W1  |      | 0F38 | false | 2    |       |         | -1       | false | false |
| 110   | blsr              | blsr r32,r32/m                                | ANY  | VEX.LZ.0F38.W0 F3 /1          | VM       | VEX    | F3         | 128 | W0  |      | 0F38 | false | 1    |       |         | -1       | false | false |
| 111   | blsr              | blsr r64,r64/m                                | X64  | VEX.LZ.0F38.W1 F3 /1          | VM       | VEX    | F3         | 128 | W1  |      | 0F38 | false | 1    |       |         | -1       | false | false |
| 112   | bndcl             | bndcl bnd,r32/m                               | X86  | F3 0F 1A /r                   | RM       |        | 1A         |     |     | F3   | 0F   | false | r    |       |         | -1       | false | false |
| 113   | bndcl             | bndcl bnd,r64/m                               | X64  | F3 0F 1A /r                   | RM       |        | 1A         |     |     | F3   | 0F   | false | r    |       |         | -1       | false | false |
