# http://ref.x86asm.net/geek32-abc.html
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| mnemonic            | op1  | op2  | op3  | op4 | iext      | pf     | 0F     | po     | so     | flds     | o     | proc     | st       | m     | rl      | x   | grp1        | grp2                 | grp3         | tested f     | modif f       | def f         | undef f      | f values                                         | description, notes                                                          |
| CMOVNLE             | Gv   | Ev   |      |     | /2.       | /2.    | /2. 0F | /2. 4F | /2.    | /2. TTTN | /2. r | /2. PP+  | /2.      | /2.   | /2.     | /2. | /2. gen     | /2. datamov          | /2.          | /2. o..sz... | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - not less nor equal/greater ((ZF=0) AND (SF=OF))      |
| CMOVG               | Gv   | Ev   |      |     |           |        |        |        |        |          |       |          |          |       |         |     |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNO              | Gv   | Ev   |      |     |           |        | 0F     | 41     |        | tttN     | r     | PP+      |          |       |         |     | gen         | datamov              |              | o.......     |               |               |              |                                                  | Conditional Move - not overflow (OF=0)                                      |
| CMOVNP              | Gv   | Ev   |      |     | /2.       | /2.    | /2. 0F | /2. 4B | /2.    | /2. TtTN | /2. r | /2. PP+  | /2.      | /2.   | /2.     | /2. | /2. gen     | /2. datamov          | /2.          | /2. ......p. | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - not parity/parity odd (PF=0)                         |
| CMOVPO              | Gv   | Ev   |      |     |           |        |        |        |        |          |       |          |          |       |         |     |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNS              | Gv   | Ev   |      |     |           |        | 0F     | 49     |        | TttN     | r     | PP+      |          |       |         |     | gen         | datamov              |              | ...s....     |               |               |              |                                                  | Conditional Move - not sign (SF=0)                                          |
| CMOVNZ              | Gv   | Ev   |      |     | /2.       | /2.    | /2. 0F | /2. 45 | /2.    | /2. tTtN | /2. r | /2. PP+  | /2.      | /2.   | /2.     | /2. | /2. gen     | /2. datamov          | /2.          | /2. ....z... | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - not zero/not equal (ZF=0)                            |
| CMOVNE              | Gv   | Ev   |      |     |           |        |        |        |        |          |       |          |          |       |         |     |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVO               | Gv   | Ev   |      |     |           |        | 0F     | 40     |        | tttn     | r     | PP+      |          |       |         |     | gen         | datamov              |              | o.......     |               |               |              |                                                  | Conditional Move - overflow (OF=1)                                          |
| CMOVP               | Gv   | Ev   |      |     | /2.       | /2.    | /2. 0F | /2. 4A | /2.    | /2. TtTn | /2. r | /2. PP+  | /2.      | /2.   | /2.     | /2. | /2. gen     | /2. datamov          | /2.          | /2. ......p. | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - parity/parity even (PF=1)                            |
| CMOVPE              | Gv   | Ev   |      |     |           |        |        |        |        |          |       |          |          |       |         |     |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVS               | Gv   | Ev   |      |     |           |        | 0F     | 48     |        | Tttn     | r     | PP+      |          |       |         |     | gen         | datamov              |              | ...s....     |               |               |              |                                                  | Conditional Move - sign (SF=1)                                              |
| CMOVZ               | Gv   | Ev   |      |     | /2.       | /2.    | /2. 0F | /2. 44 | /2.    | /2. tTtn | /2. r | /2. PP+  | /2.      | /2.   | /2.     | /2. | /2. gen     | /2. datamov          | /2.          | /2. ....z... | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - zero/equal (ZF=1)                                    |
| CMOVE               | Gv   | Ev   |      |     |           |        |        |        |        |          |       |          |          |       |         |     |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMP                 | Eb   | Gb   |      |     |           |        |        | 38     |        | dw       | r     |          |          |       |         |     | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
| CMP                 | Ev   | Gv   |      |     |           |        |        | 39     |        | dW       | r     |          |          |       |         |     | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
| CMP                 | Gb   | Eb   |      |     |           |        |        | 3A     |        | Dw       | r     |          |          |       |         |     | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
| CMP                 | Gv   | Ev   |      |     |           |        |        | 3B     |        | DW       | r     |          |          |       |         |     | gen         | arith                | binary       |              | o..szapc      | o..szapc      |              |                                                  | Compare Two Operands                                                        |
