# al.exe options - https://docs.microsoft.com/en-us/dotnet/framework/tools/al-exe-assembly-linker
----------------------------------------------------------------------------------------------------------
| Name   | Meaning                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| al1040 | Failed to install assembly into cache—reason Only signed assemblies can be installed into the cache. For more information, see Global Assembly Cache .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| al1041 | 'method': cannot be the entry point because the signature or visibility is incorrect, or it is generic A method was specified with the /main option, but that method is not static, does not return int or void , was generic, or has invalid arguments.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| al1042 | 'exe': EXEs cannot be added modules An .exe file that does not have an assembly was specified as an input file to Al.exe . Al.exe can only take dll files without assemblies as input files.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| al1043 | Manifest file name 'name' cannot be the same as any modules The name specified with the /out option cannot be the same as any one of the file names that are specified as input to Al.exe .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| al1044 | Error reading key file 'file'—reason An error occurred while opening or reading from a file specified with /keyfile or the AssemblyKeyFileAttribute .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| al1045 | Filename 'file' is too long or invalid A file name longer than 260 characters was passed to Al.exe . Choose a file name with fewer characters or a shorter path, or rename the file.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| al1046 | Resource identifier 'ID' has already been used in this assembly Two resources, embedded or linked, have the same identifier or name (the second argument). Remove or rename one of the conflicting resources.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| al1047 | Error importing file 'file'—reason A module file cannot be opened for the specified reason.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| al1048 | Error importing module 'module' of assembly 'assembly'—reason An error occurred when opening a nonmanifest file of a multifile assembly. This error is not emitted directly by Al.exe , but can be passed programmatically to a process that uses Al.exe .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| al1049 | Cannot auto-generate build and revision version numbers for dates before January 1, 2000 The system clock on your computer is set to a date earlier than January 1, 2000.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
