# CoreApi31 - https://docs.microsoft.com/en-us/dotnet/api/?view=netcore-3.1
------------------------------------------------------------------------------------------------------------------------------------------------
| Name                                                           | Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.ComponentModel Namespace                                | The System.ComponentModel namespace provides classes that are used to implement the run-time and design-time behavior of components and controls. This namespace includes the base classes and interfaces for implementing attributes and type converters, binding to data sources, and licensing components.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| System.ComponentModel.DataAnnotations Namespace                | The System.ComponentModel.DataAnnotations namespace provides attribute classes that are used to define metadata for ASP.NET MVC and ASP.NET data controls.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.ComponentModel.DataAnnotations.Schema Namespace         | The System.ComponentModel.DataAnnotations.Schema namespace provides support for attribute classes that are used to define metadata for ASP.NET MVC and ASP.NET data controls.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| System.ComponentModel.Design Namespace                         | The System.ComponentModel.Design namespace contains classes that developers can use to build custom design-time behavior for components and user interfaces for configuring components at design time. The design time environment provides systems that enable developers to arrange components and configure their properties. Some components may require specific design-time only behavior to function properly in a design time environment. It may also be valuable to provide custom user interfaces which assist developers in configuring components or the values of complex data types. The classes and interfaces defined within this namespace can be used to build design-time behavior for components, access design-time services, and implement customized design-time configuration interfaces.                                                                                                                         |
| System.ComponentModel.Design.Serialization Namespace           | The System.ComponentModel.Design.Serialization namespace provides types that support customization and control of serialization at design time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Configuration Namespace                                 | The System.Configuration namespace contains the types that provide the programming model for handling configuration data.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Configuration.Assemblies Namespace                      | The namespace contains classes that are used to configure an assembly.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| System.Configuration.Assemblies Namespace                      | The System.Configuration.Assemblies namespace contains classes that are used to configure an assembly.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| System.Configuration.Internal Namespace                        | The namespace contains configuration types that are intended for internal use only.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| System.Configuration.Internal Namespace                        | The System.Configuration.Internal namespace contains configuration types that are intended for internal use only.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| System.Configuration.Provider Namespace                        | The namespace contains the base classes shared by both server and client applications to support a pluggable model to easily add or remove functionality.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Configuration.Provider Namespace                        | The System.Configuration.Provider namespace contains the base classes shared by both server and client applications to support a pluggable model to easily add or remove functionality.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| System.Data Namespace                                          | The System.Data namespace provides access to classes that represent the ADO.NET architecture. ADO.NET lets you build components that efficiently manage data from multiple data sources.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| System.Data Namespace                                          | The namespace provides access to classes that represent the ADO.NET architecture. ADO.NET lets you build components that efficiently manage data from multiple data sources.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| System.Data.Common Namespace                                   | The namespace contains classes shared by the .NET Framework data providers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Data.Common Namespace                                   | The System.Data.Common namespace contains classes shared by the .NET Framework data providers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| System.Data.Odbc Namespace                                     | The System.Data.Odbc namespace is the .NET Framework Data Provider for ODBC.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| System.Data.Odbc Namespace                                     | The namespace is the .NET Framework Data Provider for ODBC.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Data.Ole Db Namespace                                   | The System.Data.OleDb namespace is the.NET Framework Data Provider for OLE DB.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| System.Data.OleDb Namespace                                    | The namespace is the.NET Framework Data Provider for OLE DB.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| System.Data.OracleClient Namespace                             | The namespace is the .NET Framework Data Provider for Oracle.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| System.Data.OracleClient Namespace                             | The System.Data.OracleClient namespace is the .NET Framework Data Provider for Oracle.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| System.Data.SqlClient Namespace                                | The System.Data.SqlClient namespace is the .NET Data Provider for SQL Server.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| System.Data.SqlClient Namespace                                | The namespace is the .NET Data Provider for SQL Server.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
