Seq      | Mnemonic
1343     | Vpshad
1344     | Vpshaq
1345     | Vpshaw
1346     | Vpshlb
1347     | Vpshld
1348     | Vpshldd
1349     | Vpshldq
1350     | Vpshldvd
1351     | Vpshldvq
1352     | Vpshldvw
1353     | Vpshldw
1354     | Vpshlq
1355     | Vpshlw
1356     | Vpshrdd
1357     | Vpshrdq
1358     | Vpshrdvd
1359     | Vpshrdvq
1360     | Vpshrdvw
1361     | Vpshrdw
1362     | Vpshufb
1363     | Vpshufbitqmb
1364     | Vpshufd
1365     | Vpshufhw
1366     | Vpshuflw
1367     | Vpsignb
1368     | Vpsignd
1369     | Vpsignw
1370     | Vpslld
1371     | Vpslldq
1372     | Vpsllq
1373     | Vpsllvd
1374     | Vpsllvq
1375     | Vpsllvw
1376     | Vpsllw
1377     | Vpsrad
1378     | Vpsraq
1379     | Vpsravd
1380     | Vpsravq
1381     | Vpsravw
1382     | Vpsraw
1383     | Vpsrld
1384     | Vpsrldq
1385     | Vpsrlq
1386     | Vpsrlvd
1387     | Vpsrlvq
1388     | Vpsrlvw
1389     | Vpsrlw
1390     | Vpsubb
1391     | Vpsubd
1392     | Vpsubq
1393     | Vpsubsb
1394     | Vpsubsw
1395     | Vpsubusb
1396     | Vpsubusw
1397     | Vpsubw
1398     | Vpternlogd
1399     | Vpternlogq
1400     | Vptest
1401     | Vptestmb
1402     | Vptestmd
1403     | Vptestmq
1404     | Vptestmw
1405     | Vptestnmb
1406     | Vptestnmd
1407     | Vptestnmq
1408     | Vptestnmw
1409     | Vpunpckhbw
1410     | Vpunpckhdq
1411     | Vpunpckhqdq
1412     | Vpunpckhwd
1413     | Vpunpcklbw
1414     | Vpunpckldq
1415     | Vpunpcklqdq
1416     | Vpunpcklwd
1417     | Vpxor
1418     | Vpxord
1419     | Vpxorq
1420     | Vrangepd
1421     | Vrangeps
1422     | Vrangesd
1423     | Vrangess
1424     | Vrcp14pd
1425     | Vrcp14ps
1426     | Vrcp14sd
1427     | Vrcp14ss
1428     | Vrcp28pd
1429     | Vrcp28ps
1430     | Vrcp28sd
1431     | Vrcp28ss
1432     | Vrcpps
1433     | Vrcpss
1434     | Vreducepd
1435     | Vreduceps
1436     | Vreducesd
1437     | Vreducess
1438     | Vrndscalepd
1439     | Vrndscaleps
1440     | Vrndscalesd
1441     | Vrndscaless
1442     | Vroundpd
1443     | Vroundps
1444     | Vroundsd
1445     | Vroundss
1446     | Vrsqrt14pd
1447     | Vrsqrt14ps
1448     | Vrsqrt14sd
1449     | Vrsqrt14ss
1450     | Vrsqrt28pd
1451     | Vrsqrt28ps
1452     | Vrsqrt28sd
1453     | Vrsqrt28ss
1454     | Vrsqrtps
1455     | Vrsqrtss
1456     | Vscalefpd
1457     | Vscalefps
1458     | Vscalefsd
1459     | Vscalefss
1460     | Vscatterdpd
1461     | Vscatterdps
1462     | Vscatterpf0dpd
1463     | Vscatterpf0dps
1464     | Vscatterpf0qpd
1465     | Vscatterpf0qps
1466     | Vscatterpf1dpd
1467     | Vscatterpf1dps
1468     | Vscatterpf1qpd
1469     | Vscatterpf1qps
1470     | Vscatterqpd
1471     | Vscatterqps
1472     | Vshuff32x4
1473     | Vshuff64x2
1474     | Vshufi32x4
1475     | Vshufi64x2
1476     | Vshufpd
1477     | Vshufps
1478     | Vsqrtpd
1479     | Vsqrtps
1480     | Vsqrtsd
1481     | Vsqrtss
1482     | Vstmxcsr
1483     | Vsubpd
1484     | Vsubps
1485     | Vsubsd
1486     | Vsubss
1487     | Vtestpd
1488     | Vtestps
1489     | Vucomisd
1490     | Vucomiss
1491     | Vunpckhpd
1492     | Vunpckhps
1493     | Vunpcklpd
1494     | Vunpcklps
1495     | Vxorpd
1496     | Vxorps
1497     | Vzeroall
1498     | Vzeroupper
1499     | Wait
1500     | Wbinvd
1501     | Wbnoinvd
1502     | Wrfsbase
1503     | Wrgsbase
1504     | Wrmsr
1505     | Wrpkru
1506     | Wrssd
1507     | Wrssq
1508     | Wrussd
1509     | Wrussq
1510     | Xabort
1511     | Xadd
1512     | Xbegin
1513     | Xbts
1514     | Xchg
1515     | Xcryptcbc
1516     | Xcryptcfb
1517     | Xcryptctr
1518     | Xcryptecb
1519     | Xcryptofb
1520     | Xend
1521     | Xgetbv
1522     | Xlatb
1523     | Xor
1524     | Xorpd
1525     | Xorps
1526     | Xresldtrk
1527     | Xrstor
1528     | Xrstor64
1529     | Xrstors
1530     | Xrstors64
1531     | Xsave
1532     | Xsave64
1533     | Xsavec
1534     | Xsavec64
1535     | Xsaveopt
1536     | Xsaveopt64
1537     | Xsaves
1538     | Xsaves64
1539     | Xsetbv
1540     | Xsha1
1541     | Xsha256
1542     | Xstore
1543     | Xsusldtrk
1544     | Xtest
