Seq      | Mnemonic
536      | Pfrcpv
537      | Pfrsqit1
538      | Pfrsqrt
539      | Pfrsqrtv
540      | Pfsub
541      | Pfsubr
542      | Phaddd
543      | Phaddsw
544      | Phaddw
545      | Phminposuw
546      | Phsubd
547      | Phsubsw
548      | Phsubw
549      | Pi2fd
550      | Pi2fw
551      | Pinsrb
552      | Pinsrd
553      | Pinsrq
554      | Pinsrw
555      | Pmaddubsw
556      | Pmaddwd
557      | Pmaxsb
558      | Pmaxsd
559      | Pmaxsw
560      | Pmaxub
561      | Pmaxud
562      | Pmaxuw
563      | Pminsb
564      | Pminsd
565      | Pminsw
566      | Pminub
567      | Pminud
568      | Pminuw
569      | Pmovmskb
570      | Pmovsxbd
571      | Pmovsxbq
572      | Pmovsxbw
573      | Pmovsxdq
574      | Pmovsxwd
575      | Pmovsxwq
576      | Pmovzxbd
577      | Pmovzxbq
578      | Pmovzxbw
579      | Pmovzxdq
580      | Pmovzxwd
581      | Pmovzxwq
582      | Pmuldq
583      | Pmulhrsw
584      | Pmulhrw
585      | Pmulhuw
586      | Pmulhw
587      | Pmulld
588      | Pmullw
589      | Pmuludq
590      | Pop
591      | Popa
592      | Popcnt
593      | Popf
594      | Por
595      | Prefetch
596      | Prefetchnta
597      | Prefetcht0
598      | Prefetcht1
599      | Prefetcht2
600      | Prefetchw
601      | Prefetchwt1
602      | Psadbw
603      | Pshufb
604      | Pshufd
605      | Pshufhw
606      | Pshuflw
607      | Pshufw
608      | Psignb
609      | Psignd
610      | Psignw
611      | Pslld
612      | Pslldq
613      | Psllq
614      | Psllw
615      | Psmash
616      | Psrad
617      | Psraw
618      | Psrld
619      | Psrldq
620      | Psrlq
621      | Psrlw
622      | Psubb
623      | Psubd
624      | Psubq
625      | Psubsb
626      | Psubsw
627      | Psubusb
628      | Psubusw
629      | Psubw
630      | Pswapd
631      | Ptest
632      | Ptwrite
633      | Punpckhbw
634      | Punpckhdq
635      | Punpckhqdq
636      | Punpckhwd
637      | Punpcklbw
638      | Punpckldq
639      | Punpcklqdq
640      | Punpcklwd
641      | Push
642      | Pusha
643      | Pushf
644      | Pvalidate
645      | Pxor
646      | Rcl
647      | Rcpps
648      | Rcpss
649      | Rcr
650      | Rdfsbase
651      | Rdgsbase
652      | Rdmsr
653      | Rdpid
654      | Rdpkru
655      | Rdpmc
656      | Rdpru
657      | Rdrand
658      | Rdseed
659      | Rdsspd
660      | Rdsspq
661      | Rdtsc
662      | Rdtscp
663      | ReservedNop
664      | Ret
665      | Retf
666      | Rmpadjust
667      | Rmpupdate
668      | Rol
669      | Ror
670      | Rorx
671      | Roundpd
672      | Roundps
673      | Roundsd
674      | Roundss
675      | Rsm
676      | Rsqrtps
677      | Rsqrtss
678      | Rstorssp
679      | Sahf
680      | Sal
681      | Salc
682      | Sar
683      | Sarx
684      | Saveprevssp
685      | Sbb
686      | Scasb
687      | Scasd
688      | Scasq
689      | Scasw
690      | Serialize
691      | Seta
692      | Setae
693      | Setb
694      | Setbe
695      | Sete
696      | Setg
697      | Setge
698      | Setl
699      | Setle
700      | Setne
701      | Setno
702      | Setnp
703      | Setns
704      | Seto
705      | Setp
706      | Sets
707      | Setssbsy
708      | Sfence
709      | Sgdt
710      | Sha1msg1
711      | Sha1msg2
712      | Sha1nexte
713      | Sha1rnds4
714      | Sha256msg1
715      | Sha256msg2
716      | Sha256rnds2
717      | Shl
718      | Shld
719      | Shlx
720      | Shr
721      | Shrd
722      | Shrx
723      | Shufpd
724      | Shufps
725      | Sidt
726      | Skinit
727      | Sldt
728      | Slwpcb
729      | Smsw
730      | Sqrtpd
731      | Sqrtps
732      | Sqrtsd
733      | Sqrtss
734      | Stac
735      | Stc
736      | Std
