| Sequence  | Id                                                | CodeInfo                      | Encoding    | FlowControl           | RflagsRead                          | RflagsUndefined                     | RflagsWritten                       | RflagsCleared                       | RflagsSet                           | RflagsInfo                          | Cpuid               | Flags               | OpInfo    
| 1581      | Movd_xmm_rm32                                     |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | Write, Read
| 1582      | Movq_xmm_rm64                                     |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | Write, Read
| 1583      | VEX_Vmovd_xmm_rm32                                |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read
| 1584      | VEX_Vmovq_xmm_rm64                                |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read
| 1585      | EVEX_Vmovd_xmm_rm32                               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read
| 1586      | EVEX_Vmovq_xmm_rm64                               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read
| 1587      | Movq_mm_mmm64                                     |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | MMX                 |                     | Write, Read
| 1588      | Movdqa_xmm_xmmm128                                |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | Write, Read
| 1589      | VEX_Vmovdqa_xmm_xmmm128                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read
| 1590      | VEX_Vmovdqa_ymm_ymmm256                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read
| 1591      | EVEX_Vmovdqa32_xmm_k1z_xmmm128                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read
| 1592      | EVEX_Vmovdqa32_ymm_k1z_ymmm256                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read
| 1593      | EVEX_Vmovdqa32_zmm_k1z_zmmm512                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read
| 1594      | EVEX_Vmovdqa64_xmm_k1z_xmmm128                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read
| 1595      | EVEX_Vmovdqa64_ymm_k1z_ymmm256                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read
| 1596      | EVEX_Vmovdqa64_zmm_k1z_zmmm512                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read
| 1597      | Movdqu_xmm_xmmm128                                |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | Write, Read
| 1598      | VEX_Vmovdqu_xmm_xmmm128                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read
| 1599      | VEX_Vmovdqu_ymm_ymmm256                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read
| 1600      | EVEX_Vmovdqu32_xmm_k1z_xmmm128                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read
| 1601      | EVEX_Vmovdqu32_ymm_k1z_ymmm256                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read
| 1602      | EVEX_Vmovdqu32_zmm_k1z_zmmm512                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read
| 1603      | EVEX_Vmovdqu64_xmm_k1z_xmmm128                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read
| 1604      | EVEX_Vmovdqu64_ymm_k1z_ymmm256                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read
| 1605      | EVEX_Vmovdqu64_zmm_k1z_zmmm512                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read
| 1606      | EVEX_Vmovdqu8_xmm_k1z_xmmm128                     |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read
| 1607      | EVEX_Vmovdqu8_ymm_k1z_ymmm256                     |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read
| 1608      | EVEX_Vmovdqu8_zmm_k1z_zmmm512                     |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512BW            | ProtectedMode       | Write, Read
| 1609      | EVEX_Vmovdqu16_xmm_k1z_xmmm128                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read
| 1610      | EVEX_Vmovdqu16_ymm_k1z_ymmm256                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read
| 1611      | EVEX_Vmovdqu16_zmm_k1z_zmmm512                    |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512BW            | ProtectedMode       | Write, Read
| 1612      | Pshufw_mm_mmm64_imm8                              |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE                 |                     | Write, Read, Read
| 1613      | Pshufd_xmm_xmmm128_imm8                           |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | Write, Read, Read
| 1614      | VEX_Vpshufd_xmm_xmmm128_imm8                      |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 1615      | VEX_Vpshufd_ymm_ymmm256_imm8                      |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 1616      | EVEX_Vpshufd_xmm_k1z_xmmm128b32_imm8              |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1617      | EVEX_Vpshufd_ymm_k1z_ymmm256b32_imm8              |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1618      | EVEX_Vpshufd_zmm_k1z_zmmm512b32_imm8              |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 1619      | Pshufhw_xmm_xmmm128_imm8                          |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | Write, Read, Read
| 1620      | VEX_Vpshufhw_xmm_xmmm128_imm8                     |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 1621      | VEX_Vpshufhw_ymm_ymmm256_imm8                     |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 1622      | EVEX_Vpshufhw_xmm_k1z_xmmm128_imm8                |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 1623      | EVEX_Vpshufhw_ymm_k1z_ymmm256_imm8                |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 1624      | EVEX_Vpshufhw_zmm_k1z_zmmm512_imm8                |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512BW            | ProtectedMode       | Write, Read, Read
| 1625      | Pshuflw_xmm_xmmm128_imm8                          |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | Write, Read, Read
| 1626      | VEX_Vpshuflw_xmm_xmmm128_imm8                     |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 1627      | VEX_Vpshuflw_ymm_ymmm256_imm8                     |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 1628      | EVEX_Vpshuflw_xmm_k1z_xmmm128_imm8                |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 1629      | EVEX_Vpshuflw_ymm_k1z_ymmm256_imm8                |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 1630      | EVEX_Vpshuflw_zmm_k1z_zmmm512_imm8                |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512BW            | ProtectedMode       | Write, Read, Read
| 1631      | Psrlw_mm_imm8                                     |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | MMX                 |                     | ReadWrite, Read
| 1632      | Psrlw_xmm_imm8                                    |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | ReadWrite, Read
| 1633      | VEX_Vpsrlw_xmm_xmm_imm8                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 1634      | VEX_Vpsrlw_ymm_ymm_imm8                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 1635      | EVEX_Vpsrlw_xmm_k1z_xmmm128_imm8                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 1636      | EVEX_Vpsrlw_ymm_k1z_ymmm256_imm8                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 1637      | EVEX_Vpsrlw_zmm_k1z_zmmm512_imm8                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512BW            | ProtectedMode       | Write, Read, Read
| 1638      | Psraw_mm_imm8                                     |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | MMX                 |                     | ReadWrite, Read
| 1639      | Psraw_xmm_imm8                                    |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | ReadWrite, Read
| 1640      | VEX_Vpsraw_xmm_xmm_imm8                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 1641      | VEX_Vpsraw_ymm_ymm_imm8                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 1642      | EVEX_Vpsraw_xmm_k1z_xmmm128_imm8                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 1643      | EVEX_Vpsraw_ymm_k1z_ymmm256_imm8                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 1644      | EVEX_Vpsraw_zmm_k1z_zmmm512_imm8                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512BW            | ProtectedMode       | Write, Read, Read
| 1645      | Psllw_mm_imm8                                     |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | MMX                 |                     | ReadWrite, Read
| 1646      | Psllw_xmm_imm8                                    |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | ReadWrite, Read
| 1647      | VEX_Vpsllw_xmm_xmm_imm8                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 1648      | VEX_Vpsllw_ymm_ymm_imm8                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 1649      | EVEX_Vpsllw_xmm_k1z_xmmm128_imm8                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 1650      | EVEX_Vpsllw_ymm_k1z_ymmm256_imm8                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 1651      | EVEX_Vpsllw_zmm_k1z_zmmm512_imm8                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512BW            | ProtectedMode       | Write, Read, Read
| 1652      | EVEX_Vprord_xmm_k1z_xmmm128b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1653      | EVEX_Vprord_ymm_k1z_ymmm256b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1654      | EVEX_Vprord_zmm_k1z_zmmm512b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 1655      | EVEX_Vprorq_xmm_k1z_xmmm128b64_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1656      | EVEX_Vprorq_ymm_k1z_ymmm256b64_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1657      | EVEX_Vprorq_zmm_k1z_zmmm512b64_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 1658      | EVEX_Vprold_xmm_k1z_xmmm128b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1659      | EVEX_Vprold_ymm_k1z_ymmm256b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1660      | EVEX_Vprold_zmm_k1z_zmmm512b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 1661      | EVEX_Vprolq_xmm_k1z_xmmm128b64_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1662      | EVEX_Vprolq_ymm_k1z_ymmm256b64_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1663      | EVEX_Vprolq_zmm_k1z_zmmm512b64_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 1664      | Psrld_mm_imm8                                     |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | MMX                 |                     | ReadWrite, Read
| 1665      | Psrld_xmm_imm8                                    |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | ReadWrite, Read
| 1666      | VEX_Vpsrld_xmm_xmm_imm8                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 1667      | VEX_Vpsrld_ymm_ymm_imm8                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 1668      | EVEX_Vpsrld_xmm_k1z_xmmm128b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1669      | EVEX_Vpsrld_ymm_k1z_ymmm256b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1670      | EVEX_Vpsrld_zmm_k1z_zmmm512b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 1671      | Psrad_mm_imm8                                     |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | MMX                 |                     | ReadWrite, Read
| 1672      | Psrad_xmm_imm8                                    |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | ReadWrite, Read
| 1673      | VEX_Vpsrad_xmm_xmm_imm8                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 1674      | VEX_Vpsrad_ymm_ymm_imm8                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 1675      | EVEX_Vpsrad_xmm_k1z_xmmm128b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1676      | EVEX_Vpsrad_ymm_k1z_ymmm256b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1677      | EVEX_Vpsrad_zmm_k1z_zmmm512b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 1678      | EVEX_Vpsraq_xmm_k1z_xmmm128b64_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1679      | EVEX_Vpsraq_ymm_k1z_ymmm256b64_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1680      | EVEX_Vpsraq_zmm_k1z_zmmm512b64_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 1681      | Pslld_mm_imm8                                     |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | MMX                 |                     | ReadWrite, Read
| 1682      | Pslld_xmm_imm8                                    |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE2                |                     | ReadWrite, Read
| 1683      | VEX_Vpslld_xmm_xmm_imm8                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 1684      | VEX_Vpslld_ymm_ymm_imm8                           |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 1685      | EVEX_Vpslld_xmm_k1z_xmmm128b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1686      | EVEX_Vpslld_ymm_k1z_ymmm256b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 1687      | EVEX_Vpslld_zmm_k1z_zmmm512b32_imm8               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
