| Sequence  | Id                                                | CodeInfo                      | Encoding    | FlowControl           | RflagsRead                          | RflagsUndefined                     | RflagsWritten                       | RflagsCleared                       | RflagsSet                           | RflagsInfo                          | Cpuid               | Flags               | OpInfo    
| 50        | Popw_SS                                           | Pop_2                         | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     |                     | StackInstruction    | Write     
| 51        | Popd_SS                                           | Pop_4                         | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | INTEL386            | StackInstruction    | Write     
| 52        | Sbb_rm8_r8                                        |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 53        | Sbb_rm16_r16                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 54        | Sbb_rm32_r32                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 55        | Sbb_rm64_r64                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | X64                 |                     | ReadWrite, Read
| 56        | Sbb_r8_rm8                                        |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 57        | Sbb_r16_rm16                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 58        | Sbb_r32_rm32                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 59        | Sbb_r64_rm64                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | X64                 |                     | ReadWrite, Read
| 60        | Sbb_AL_imm8                                       |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 61        | Sbb_AX_imm16                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 62        | Sbb_EAX_imm32                                     |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 63        | Sbb_RAX_imm32                                     |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | X64                 |                     | ReadWrite, Read
| 64        | Pushw_DS                                          | Push_2                        | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     |                     | StackInstruction    | Read      
| 65        | Pushd_DS                                          | Push_4                        | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | INTEL386            | StackInstruction    | Read      
| 66        | Popw_DS                                           | Pop_2                         | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     |                     | StackInstruction    | Write     
| 67        | Popd_DS                                           | Pop_4                         | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | INTEL386            | StackInstruction    | Write     
| 68        | And_rm8_r8                                        |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     |                     |                     | ReadWrite, Read
| 69        | And_rm16_r16                                      |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     |                     |                     | ReadWrite, Read
| 70        | And_rm32_r32                                      |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 71        | And_rm64_r64                                      |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     | X64                 |                     | ReadWrite, Read
| 72        | And_r8_rm8                                        |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     |                     |                     | ReadWrite, Read
| 73        | And_r16_rm16                                      |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     |                     |                     | ReadWrite, Read
| 74        | And_r32_rm32                                      |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     | INTEL386            |                     | ReadWrite, Read
